Tournament,Stage,Match Type,Match Name,Team,Action,Map,Year
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,pick,Haven,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,FULL SENSE,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,ban,Split,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,pick,Haven,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Crazy Raccoon,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,pick,Split,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Cloud9,ban,Haven,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,ban,Haven,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Team Secret,ban,Split,2021
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,FURIA,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,FURIA,pick,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,FURIA,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,ban,Split,2021
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Team Liquid,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,pick,Haven,2021
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Team Liquid,pick,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,Team Liquid,ban,Bind,2021
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,FNATIC,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,FNATIC,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,pick,Haven,2021
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,FNATIC,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,X10 Esports,ban,Bind,2021
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Envy,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,X10 Esports,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Envy,pick,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,X10 Esports,ban,Split,2021
Valorant Champions 2021,Group Stage,Opening (A),Envy vs X10 Esports,Envy,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Gambit Esports,ban,Haven,2021
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Team Vikings,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Gambit Esports,pick,Split,2021
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Team Vikings,pick,Bind,2021
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Gambit Esports,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Team Vikings,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Team Liquid,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Sentinels,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Team Liquid,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Sentinels,pick,Bind,2021
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Team Liquid,ban,Haven,2021
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Sentinels,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Keyd Stars,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Acend,ban,Haven,2021
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Keyd Stars,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Acend,pick,Bind,2021
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Keyd Stars,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Acend,ban,Split,2021
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Crazy Raccoon,ban,Bind,2021
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Team Secret,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Crazy Raccoon,pick,Split,2021
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Team Secret,pick,Haven,2021
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Crazy Raccoon,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Team Secret,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,KRÜ Esports,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,FURIA,ban,Bind,2021
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,KRÜ Esports,pick,Fracture,2021
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,FURIA,pick,Ascent,2021
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,KRÜ Esports,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,FURIA,ban,Split,2021
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,FULL SENSE,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Cloud9,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,FULL SENSE,pick,Split,2021
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Cloud9,pick,Breeze,2021
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,Cloud9,ban,Bind,2021
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Envy,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Acend,ban,Haven,2021
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Envy,pick,Ascent,2021
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Acend,pick,Bind,2021
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Envy,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs Envy,Acend,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Keyd Stars,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,X10 Esports,ban,Bind,2021
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Keyd Stars,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,X10 Esports,pick,Haven,2021
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Keyd Stars,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,X10 Esports,ban,Split,2021
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,KRÜ Esports,ban,Bind,2021
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Sentinels,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,KRÜ Esports,pick,Fracture,2021
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Sentinels,pick,Haven,2021
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,KRÜ Esports,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Sentinels,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Cloud9,ban,Haven,2021
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Vision Strikers,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Cloud9,pick,Ascent,2021
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Vision Strikers,pick,Split,2021
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Cloud9,ban,Bind,2021
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Vision Strikers,ban,Icebox,2021
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Secret,ban,Bind,2021
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Vikings,ban,Split,2021
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Secret,pick,Haven,2021
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Vikings,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Secret,ban,Breeze,2021
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Vikings,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,X10 Esports,ban,Bind,2021
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Envy,ban,Fracture,2021
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,X10 Esports,pick,Icebox,2021
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Envy,pick,Split,2021
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,X10 Esports,ban,Ascent,2021
Valorant Champions 2021,Group Stage,Decider (A),Envy vs X10 Esports,Envy,ban,Breeze,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Team Secret,ban,Bind,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Acend,ban,Haven,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Team Secret,pick,Icebox,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Acend,pick,Breeze,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Team Secret,ban,Fracture,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Acend,ban,Ascent,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Cloud9,ban,Split,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Team Liquid,ban,Fracture,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Cloud9,pick,Bind,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Team Liquid,pick,Ascent,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Cloud9,ban,Icebox,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Team Liquid,ban,Haven,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,X10 Esports,ban,Bind,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Gambit Esports,ban,Haven,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,X10 Esports,pick,Fracture,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Gambit Esports,pick,Ascent,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,X10 Esports,ban,Split,2021
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Gambit Esports,ban,Icebox,2021
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,KRÜ Esports,ban,Fracture,2021
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,FNATIC,ban,Breeze,2021
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,KRÜ Esports,pick,Haven,2021
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,FNATIC,pick,Icebox,2021
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,KRÜ Esports,ban,Bind,2021
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,FNATIC,ban,Ascent,2021
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Acend,ban,Haven,2021
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Team Liquid,ban,Fracture,2021
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Acend,pick,Bind,2021
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Team Liquid,pick,Split,2021
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Acend,ban,Breeze,2021
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Team Liquid,ban,Icebox,2021
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Gambit Esports,ban,Haven,2021
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,KRÜ Esports,ban,Icebox,2021
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Gambit Esports,pick,Breeze,2021
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,KRÜ Esports,pick,Ascent,2021
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Gambit Esports,ban,Split,2021
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,KRÜ Esports,ban,Fracture,2021
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Gambit Esports,ban,Bind,2021
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Acend,ban,Haven,2021
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Gambit Esports,pick,Breeze,2021
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Acend,pick,Ascent,2021
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Gambit Esports,pick,Fracture,2021
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Acend,pick,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,100 Thieves,ban,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Gen.G,ban,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,100 Thieves,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,Gen.G,pick,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,100 Thieves,pick,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,XSET,ban,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Luminosity,ban,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,XSET,pick,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,Luminosity,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,XSET,pick,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,XSET,ban,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,100 Thieves,ban,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,XSET,pick,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,100 Thieves,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,XSET,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,FaZe Clan,ban,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Rise,ban,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,FaZe Clan,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,Rise,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,FaZe Clan,pick,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Version1,ban,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Cloud9,ban,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Version1,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Cloud9,pick,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Version1,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Cloud9,ban,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Rise,ban,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Cloud9,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Rise,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Cloud9,pick,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Luminosity,ban,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Gen.G,ban,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Luminosity,pick,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Gen.G,pick,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Luminosity,pick,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Version1,ban,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,FaZe Clan,ban,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Version1,pick,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,FaZe Clan,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,Version1,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Cloud9,ban,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Gen.G,ban,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Cloud9,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Gen.G,pick,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Cloud9,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,XSET,ban,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,Version1,ban,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,XSET,pick,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,Version1,pick,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,XSET,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,100 Thieves,ban,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Rise,ban,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,100 Thieves,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,Rise,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,100 Thieves,pick,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,XSET,ban,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Cloud9,ban,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,XSET,pick,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Cloud9,pick,Ascent,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,XSET,pick,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,100 Thieves,ban,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Cloud9,ban,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,100 Thieves,pick,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,Cloud9,pick,Haven,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,100 Thieves,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Rise,ban,Icebox,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Cloud9,pick,Breeze,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Rise,pick,Split,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Cloud9,pick,Bind,2021
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Rise,pick,Haven,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,E-Xolos LAZER,ban,Bind,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Sharks Esports,ban,Breeze,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,E-Xolos LAZER,pick,Ascent,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Sharks Esports,pick,Haven,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,E-Xolos LAZER,pick,Icebox,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Australs,ban,Bind,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,FURIA,ban,Icebox,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Australs,pick,Split,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,FURIA,pick,Haven,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Australs,pick,Ascent,2021
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Australs,ban,Bind,2021
